Model,Accuracy,Precision,Recall,F1,ROC-AUC,Time (s)
Gradient Boosting,0.7778566359119943,0.5661605206073753,0.6978609625668449,0.6251497005988024,0.8404221240538375,0.7082102298736572
SVM,0.7537260468417317,0.5251396648044693,0.7540106951871658,0.6190998902305159,0.823467410679687,3.236853837966919
Logistic Regression,0.7366926898509581,0.5025210084033613,0.7994652406417112,0.6171310629514963,0.8404117905396677,0.030670881271362305
AdaBoost,0.7366926898509581,0.5026455026455027,0.7620320855614974,0.6057385759829969,0.8368531865974321,0.16361594200134277
LightGBM,0.7821149751596878,0.587012987012987,0.6042780748663101,0.5955204216073782,0.8314836342969335,0.46503186225891113
XGBoost,0.7785663591199432,0.5828877005347594,0.5828877005347594,0.5828877005347594,0.8241261722080137,0.13746094703674316
Random Forest,0.7735982966643009,0.5718015665796344,0.5855614973262032,0.5785997357992074,0.8238962515177349,0.11751604080200195
Naive Bayes,0.6643009226401704,0.4331983805668016,0.8582887700534759,0.5757847533632287,0.8082900617427471,0.0015439987182617188
MLP,0.7437899219304471,0.514161220043573,0.6310160427807486,0.5666266506602641,0.7956392570203313,3.875107765197754
KNN,0.7004968062455642,0.4595959595959596,0.7299465240641712,0.5640495867768595,0.7712612054044279,0.0005519390106201172
Decision Tree,0.7175301632363378,0.4720930232558139,0.5427807486631016,0.5049751243781094,0.6615076597173783,0.030255794525146484
